P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00062,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Medium,0.028446918,0.048340244,0.111151607,0.255709196,0.149358881,3,0,5,0,8,1,4,4,0,0,0.024655635,0.022136104,0.02922543,0.018442261,0.013561788,0.16057392,0.185407331,0.375752832,9,12.38
PR00075,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Small,0.033662135,0.041290184,0.248920364,0.259288226,0.18158429,3,0,6,1,1,1,1,0,8,4,0.096685561,0.034311879,0.01322173,0.02923983,0.013223723,0.224151514,0.304518589,0.596928405,10,15.97
PR00191,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Small,0.032364061,0.036118053,0.21208743,0.39824336,0.318542698,0,0,6,4,2,2,1,1,8,4,0.034184597,0.009824953,0.026669915,0.027185571,0.008994767,0.277913437,0.042856537,0.332680382,7,9.33
PR00195,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Large,0.031456438,0.019818726,0.254382627,0.436302362,0.235114099,4,2,8,1,6,3,6,3,8,1,0.085540285,0.011848417,0.018552987,0.028459309,0.00865311,0.288521625,0.271304969,0.638103945,13,21.3
PR00198,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Large,0.034640883,0.045739896,0.052728453,0.265140229,0.337459747,8,1,2,1,8,2,1,1,1,0,0.047541765,0.016622562,0.024461061,0.023378839,0.008048462,0.179072615,0.286924953,0.51737797,23,34.9
PR00228,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Small,0.040889351,0.036364509,0.046102909,0.35431971,0.320794232,7,0,8,0,1,1,6,4,4,0,0.059148215,0.026315833,0.009081778,0.029661738,0.007490258,0.200936486,0.387661953,0.66649387,10,16.66
PR00232,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Small,0.060273294,0.054239438,0.055816407,0.31565823,0.430842963,1,1,8,0,5,4,8,1,5,1,0.05469658,0.01534686,0.015469259,0.037739292,0.005580614,0.22097292,0.231533321,0.503668835,17,25.56
PR00357,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Small,0.049700431,0.036348789,0.059521086,0.20811154,0.133270094,7,4,1,1,4,3,1,1,1,1,0.066661562,0.023586172,0.027027777,0.032063404,0.00566196,0.127138462,0.1335047,0.277616745,11,14.05
PR00371,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Small,0.047322647,0.041851364,0.103303956,0.316790579,0.168194225,1,1,6,4,6,1,3,1,2,2,0.058481322,0.029740629,0.011184419,0.027881408,0.006541639,0.183920831,0.082237178,0.281283139,17,21.78
PR00394,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Medium,0.034351039,0.037874433,0.218473497,0.250857102,0.134180283,0,0,7,3,2,2,2,2,3,2,0.054302407,0.02161087,0.014805785,0.034611654,0.006130981,0.199964068,0.0363862,0.2436262,22,27.36
PR00425,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Small,0.017528985,0.034819204,0.148999675,0.37795365,0.255508074,8,0,1,1,3,2,6,1,5,1,0.029654424,0.01689801,0.010436602,0.039898537,0.004424719,0.230210786,0.284954025,0.580764301,7,11.07
PR00426,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Medium,0.049280539,0.036257146,0.135207131,0.251130407,0.307553297,4,3,4,0,7,4,2,0,7,0,0.034337021,0.02253145,0.014212177,0.047923312,0.005321294,0.205065626,0.16822154,0.407783621,16,22.52
PR00452,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Large,0.025253499,0.018282784,0.089687292,0.546572861,0.179896756,3,3,2,2,0,0,7,3,2,2,0.021367546,0.027720946,0.02171878,0.03388852,0.010594297,0.24305364,0.081332449,0.344154237,11,14.79
PR00461,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Small,0.044162858,0.029163035,0.062814277,0.227033346,0.234306216,6,3,5,3,3,3,3,3,8,3,0.036220355,0.013197962,0.019226478,0.038235951,0.005649663,0.152595824,0.102683528,0.270948429,9,11.44
PR00483,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Medium,0.02163811,0.054787163,0.204599816,0.31495609,0.211787252,2,2,7,3,0,0,8,3,8,0,0.037488676,0.02809166,0.016642945,0.022102274,0.012698118,0.226833089,0.207220087,0.481057549,16,23.7
PR00489,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Small,0.044572773,0.054429799,0.127802309,0.068028251,0.215903832,0,0,2,1,0,0,4,1,2,2,0.034359159,0.051808321,0.007284489,0.017790013,0.016916367,0.128574849,0.050154935,0.185178447,7,8.3
PR00505,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Small,0.037347867,0.051043701,0.195846279,0.40091504,0.715482778,4,0,1,1,3,1,4,0,5,2,0.059473958,0.017716883,0.011081009,0.035875861,0.007767355,0.353598731,0.26322264,0.709896562,16,27.36
PR00533,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Medium,0.051486785,0.044291194,0.233863244,0.095696044,0.207187836,8,2,4,2,4,2,3,3,6,3,0.061398568,0.020955596,0.02419207,0.032532064,0.009368265,0.178777934,0.288000626,0.518266717,16,24.29
PR00569,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Small,0.037847881,0.05249023,0.190353328,0.30235691,0.359619726,5,0,2,0,6,3,0,0,2,2,0.04204233,0.029576013,0.030832672,0.034429421,0.009962802,0.250858831,0.193079206,0.492373661,18,26.86
PR00633,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Large,0.0612598,0.011485806,0.064559087,0.160988874,0.174358986,1,1,7,4,1,1,7,4,0,0,0.06545881,0.026001273,0.017109366,0.027003322,0.006868712,0.124881335,0.075907317,0.210268059,13,15.73
PR00634,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Medium,0.037189406,0.058114375,0.133762541,0.297241359,0.241238491,1,1,5,2,5,4,6,3,3,1,0.03144948,0.014316058,0.017721927,0.044512858,0.013151948,0.203128192,0.130319863,0.359919694,15,20.4
PR00655,Argentina,Mining,Fair >80% of activity duration,0MM-2MM,Medium,0.0319369,0.048562516,0.034098911,0.167145753,0.256064725,5,3,6,2,2,0,5,1,0,0,0.03366302,0.016850659,0.007509939,0.021960923,0.006493715,0.125408586,0.1242027,0.265187371,15,18.98
PR00670,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Large,0.044765412,0.029627738,0.096147255,0.273372835,0.157305997,4,3,1,1,6,4,6,1,1,1,0.030128147,0.029028429,0.010842896,0.032564944,0.008275272,0.164604692,0.126614614,0.312060665,24,31.49
PR00774,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Medium,0.060716964,0.034607436,0.093163346,0.259017663,0.397938167,6,1,7,3,6,4,0,0,6,4,0.053831979,0.029166282,0.021641853,0.017137116,0.011366785,0.211467883,0.246704156,0.510342045,9,13.59
PR00807,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Medium,0.041513454,0.038589327,0.116321738,0.215515345,0.211598291,2,2,7,4,4,4,4,0,7,3,0.030146581,0.042256304,0.019305575,0.040670983,0.009481228,0.165810787,0.179904392,0.375545268,21,28.89
PR00894,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Small,0.022382892,0.071606402,0.150915663,0.211932426,0.379101216,6,3,2,0,1,1,4,3,4,4,0.042516318,0.015322065,0.020888795,0.021259505,0.01011753,0.208942279,0.100010521,0.329849227,24,31.92
PR00912,Argentina,Mining,Harsh >50% of activity duration,0MM-2MM,Large,0.031948505,0.037116005,0.164647521,0.312552472,0.188690416,0,0,8,1,0,0,5,0,5,1,0.065176052,0.026447112,0.021435563,0.027217841,0.008198413,0.20720576,0.179242597,0.423588456,16,22.78
PR00924,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Medium,0.027358742,0.032898862,0.096478685,0.449337326,0.168799211,1,0,2,0,4,2,8,1,4,3,0.02998427,0.028792571,0.042775763,0.071739039,0.003541897,0.215637143,0.385766986,0.684589819,8,13.48
PR01063,Argentina,Mining,Fair >50% of activity duration,0MM-2MM,Small,0.022079815,0.038112814,0.100380228,0.459807921,0.329542819,3,0,6,1,2,0,8,4,1,0,0.055926109,0.037750499,0.019094574,0.02258657,0.0135189,0.251428626,0.253551612,0.568730372,7,10.98
