P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00001,Chile,Mining,Harsh >50% of activity duration,<20MM,Small,0.029254671,0.052530311,0.20711035,0.059150311,0.233037882,7,1,1,1,1,0,8,3,3,3,0.030350692,0.026625014,0.025048106,0.020441546,0.011203947,0.157136993,0.183111181,0.369021715,24,32.86
PR00002,Chile,O&G - Downstream,Harsh >50% of activity duration,<200MM,Small,0.045873064,0.190932802,0.178061096,0.190666003,0.162979266,2,2,2,2,1,1,3,1,3,3,0.057361436,0.014268466,0.020413802,0.028443361,0.008270687,0.182034999,0.034132033,0.222380257,8,9.78
PR00003,Argentina,O&G - Downstream,Fair >80% of activity duration,<2MM,Small,0.034945033,0.052611726,0.089231751,0.242727062,0.289859825,8,3,7,4,6,1,3,1,1,1,0.067331976,0.03432042,0.025372071,0.058564416,0.00495874,0.177849628,0.371739845,0.615703267,6,9.69
PR00004,Chile,O&G - Downstream,Harsh >50% of activity duration,<20MM,Medium,0.015550465,0.049072018,0.178737028,0.565254993,0.166897497,4,1,8,2,8,1,1,0,5,3,0.041680503,0.016553948,0.016760613,0.025858449,0.003532063,0.280792026,0.191029536,0.525461131,14,21.36
PR00005,Argentina,O&G - Downstream,Fair >50% of activity duration,<2MM,Large,0.060886667,0.065073272,0.071066052,0.299046507,0.173151708,0,0,1,0,8,3,7,0,6,0,0.030682098,0.042217253,0.024501951,0.034680184,0.008498413,0.171246045,0.272678169,0.490619272,16,23.85
PR00006,Peru,Renewables - Wind,Fair >50% of activity duration,<2MM,Small,0.060573017,0.048157973,0.072519274,0.090081435,0.250256684,7,4,5,1,5,0,8,1,7,3,0.032039717,0.042019495,0.01579612,0.015211468,0.00958846,0.12363463,0.25823109,0.413792026,8,11.31
PR00007,Chile,Mining,Harsh >50% of activity duration,<200MM,Large,0.0115856,0.033860199,0.111002568,0.122693752,0.128822926,4,2,5,2,0,0,2,2,1,1,0.064100763,0.021991036,0.016428799,0.017662345,0.007265045,0.111563148,0.100011503,0.222732249,23,28.12
PR00008,Argentina,Renewables - Solar,Fair >50% of activity duration,<20MM,Small,0.058332296,0.02138569,0.072886087,0.351135604,0.077261053,1,1,1,0,3,0,5,3,5,3,0.046067813,0.021560205,0.017252228,0.037542159,0.007665237,0.165599685,0.093805478,0.27493932,14,17.85
PR00009,Peru,Renewables - Solar,Harsh >50% of activity duration,<2MM,Small,0.102606437,0.021650522,0.115834355,0.107251496,0.396810518,3,3,4,2,2,2,6,0,0,0,0.04654974,0.02701301,0.020225371,0.025579912,0.013414235,0.18460543,0.110996791,0.316092832,19,25.01
PR00010,Chile,Mining,Fair >50% of activity duration,<2MM,Small,0.019393291,0.015681599,0.091030893,0.184278393,0.296661134,2,2,3,1,8,0,0,0,2,2,0.084268822,0.011568392,0.024050632,0.048300625,0.017703548,0.156660504,0.104300403,0.277300661,8,10.22
