P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00223,YES,1 - 2,<10%,<0%,FIXED,0.157028189,0.005446147,0.280135644,0.008996803,0.198750346,4,0,6,1,8,1,7,4,0,0,0.045132883,0.023362965,0.01484146,0.028334055,0.005735926,0.217355775,0.102627545,0.342290009,36,48.32
PR00276,YES,1 - 2,<10%,<0%,FIXED,0.175390982,0.005635922,0.243009793,0.006993887,0.163692818,6,1,6,0,1,1,3,2,2,0,0.047923913,0.034657334,0.015803219,0.015324539,0.007249093,0.194509376,0.078153997,0.287865059,27,34.77
PR00442,NO,1 - 2,<10%,<0%,FIXED,0.064848738,0.007506987,0.246953916,0.010845474,0.311467991,4,2,2,2,5,4,2,2,2,2,0.038806006,0.012029729,0.01129766,0.034563839,0.013790459,0.206415137,0.008399665,0.216548619,35,42.58
PR00673,NO,1 - 2,<10%,<0%,FIXED,0.113589694,0.004348513,0.34949349,0.010976138,0.220209206,6,4,6,4,5,3,2,2,2,2,0.049023721,0.028175705,0.02669596,0.022960049,0.008488352,0.248299148,0.043164563,0.302181436,33,42.97
PR01113,NO,1 - 2,<10%,<0%,FIXED,0.044121116,0.005204082,0.307355899,0.006708078,0.209926139,7,1,3,0,0,0,7,0,6,3,0.060794945,0.020390947,0.014675602,0.025754763,0.010462316,0.209402664,0.074216352,0.299160117,33,42.87
PR01145,YES,1 - 2,<10%,<0%,OTHER,0.144119446,0.013440387,0.241218065,0.004889162,0.413913143,1,1,3,3,2,0,0,0,1,1,0.040967901,0.033345903,0.021288045,0.054005109,0.010104369,0.238692248,0.017030436,0.259787716,35,44.09
PR01226,NO,1 - 2,<10%,<0%,OTHER,0.045006289,0.009952025,0.148045389,0.006105003,0.298908873,6,0,5,0,7,3,4,3,8,4,0.04477686,0.018450019,0.01295894,0.06313237,0.011187962,0.148843836,0.076706456,0.236967575,26,32.16
PR01258,NO,1 - 2,<10%,<0%,FIXED,0.070699429,0.006148699,0.265431666,0.007937633,0.252413796,3,3,8,4,3,3,3,3,0,0,0.03545507,0.04299162,0.022270796,0.046161981,0.006863923,0.203151904,0.051589944,0.265222443,31,39.22
PR01417,NO,1 - 2,<10%,<0%,OTHER,0.063543503,0.011300488,0.301076932,0.009993677,0.457802132,6,0,3,3,5,2,8,3,5,0,0.045695867,0.019701017,0.026366946,0.031627504,0.006042027,0.263194578,0.078487106,0.362339065,34,46.32
PR01419,NO,1 - 2,<10%,<0%,OTHER,0.115244734,0.010675721,0.188579221,0.010109213,0.573870762,5,4,1,1,6,3,6,3,1,1,0.025279845,0.023331031,0.024818115,0.026815787,0.008998106,0.240370033,0.047135202,0.298835125,33,42.86
PR01590,NO,1 - 2,<10%,<0%,OTHER,0.094854353,0.011174755,0.175613984,0.006023101,0.399899182,7,1,7,3,1,1,5,0,4,4,0.051107373,0.029738986,0.019522147,0.029484572,0.007514564,0.193121676,0.080503567,0.289172227,31,39.96
PR01704,NO,1 - 2,<10%,<0%,OTHER,0.072948608,0.005364784,0.205616996,0.007982946,0.390495112,2,2,8,2,1,0,0,0,7,0,0.048463498,0.021493447,0.014382144,0.025490929,0.004710276,0.20109815,0.046089659,0.256456354,28,35.18
PR01753,NO,1 - 2,<10%,<0%,FIXED,0.088787626,0.006406822,0.248809715,0.008261424,0.16285615,5,3,1,1,3,2,2,1,3,3,0.048787748,0.018686004,0.024946185,0.030038067,0.006317658,0.180786371,0.020864862,0.205423316,29,34.96
PR02033,NO,1 - 2,<10%,<0%,FIXED,0.09178416,0.008848393,0.180230784,0.007353368,0.242268779,8,1,2,2,0,0,5,3,3,1,0.039278652,0.033255812,0.012683837,0.034706854,0.012253336,0.163257182,0.028855603,0.196823669,35,41.89
