P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00001,Peru,Renewables - Wind,Harsh >50% of activity duration,<2MM,Small,0.02726656,0.086804124,0.23554528,0.249802713,0.413707694,2,2,2,2,0,0,7,1,0,0,0.035247242,0.023153762,0.011948867,0.034442219,0.006424855,0.263057311,0.123991989,0.419666299,10,14.2
PR00002,Argentina,Renewables - Wind,Fair >80% of activity duration,<200MM,Small,0.020814533,0.024688311,0.112437614,0.272467665,0.334012098,8,2,4,3,6,4,6,2,3,3,0.040501791,0.028406154,0.007991695,0.030935424,0.01149217,0.199955813,0.237985313,0.485527672,22,32.68
PR00003,Chile,Mining,Harsh >50% of activity duration,<20MM,Small,0.031908294,0.058350486,0.358781108,0.139295682,0.156198917,4,2,8,3,0,0,7,4,8,1,0.057762218,0.02392185,0.022503261,0.026895913,0.008954044,0.227435529,0.222268847,0.500256209,22,33.01
PR00004,Chile,O&G - Downstream,Fair >80% of activity duration,<200MM,Medium,0.052122369,0.067400439,0.075371939,0.12695758,0.157007219,0,0,0,0,6,1,0,0,5,3,0.030952114,0.031581394,0.014707465,0.041308006,0.005947623,0.116038108,0.04866391,0.170348886,9,10.53
PR00005,Argentina,Renewables - Solar,Harsh >50% of activity duration,<200MM,Large,0.026166841,0.026932793,0.234321855,0.117517845,0.063916419,0,0,8,3,1,1,5,3,8,2,0.038646706,0.035924521,0.0156926,0.051614155,0.012215158,0.149655729,0.198095844,0.377397752,9,12.4
PR00006,Chile,Renewables - Solar,Fair >80% of activity duration,<20MM,Small,0.027814867,0.059979663,0.087196112,0.210240742,0.225876722,3,0,6,3,0,0,5,0,0,0,0.020750029,0.010631823,0.013596045,0.05686043,0.004165149,0.153078712,0.219094758,0.405712213,15,21.09
PR00007,Peru,Renewables - Wind,Fair >80% of activity duration,<200MM,Medium,0.077925949,0.07100251,0.064685373,0.208296946,0.176722547,3,2,3,0,0,0,8,2,7,4,0.040500895,0.030415656,0.024299945,0.038766996,0.007421083,0.146739355,0.218061411,0.396798957,13,18.16
PR00008,Chile,Renewables - Solar,Fair >80% of activity duration,<20MM,Large,0.018999977,0.03085975,0.087129164,0.173796635,0.146282706,3,3,0,0,0,0,7,2,5,2,0.066448222,0.03032576,0.027541312,0.054329347,0.006233938,0.122540179,0.181689856,0.326494342,8,10.61
PR00009,Chile,O&G - Upstream,Fair >50% of activity duration,<20MM,Large,0.037627641,0.045486528,0.085640963,0.130986494,0.166335,5,1,6,1,8,2,3,1,1,1,0.027480345,0.020354351,0.014298013,0.038244003,0.005676724,0.11850057,0.190359786,0.331418099,12,15.98
PR00010,Chile,O&G - Upstream,Fair >80% of activity duration,<2MM,Large,0.025421034,0.053239246,0.07735769,0.235125854,0.140790771,0,0,4,1,6,4,0,0,3,3,0.027611814,0.020464371,0.025366793,0.025520507,0.008209639,0.138656207,0.046854383,0.192007242,7,8.34
PR00011,Argentina,Renewables - Wind,Harsh >50% of activity duration,<20MM,Small,0.018278436,0.049849563,0.062663503,0.09481285,0.283564954,1,0,7,3,4,1,5,2,8,3,0.051683916,0.014599539,0.017526755,0.038589983,0.00592629,0.117284334,0.176833257,0.314857362,18,23.67
PR00012,Argentina,Renewables - Wind,Fair >50% of activity duration,<200MM,Medium,0.031953423,0.056662449,0.165529298,0.270059898,0.231417853,2,0,0,0,0,0,0,0,5,2,0.043716504,0.007761963,0.016846933,0.058285364,0.01078201,0.204334738,0.084805834,0.30646935,9,11.76
