P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00075,YES,1 - 2,<20%,<0%,OTHER,0.197057701,0.007896935,0.40192005,0.00796101,0.362588227,7,2,1,0,5,0,3,0,1,1,0.041145234,0.015137854,0.01282898,0.012650105,0.008315701,0.264850562,0.056651065,0.336505694,36,48.11
PR00302,NO,1 - 2,<20%,<0%,OTHER,0.07019052,0.009186939,0.222075081,0.009711301,0.782199219,3,3,6,0,7,4,8,1,6,0,0.05713231,0.030097031,0.020775717,0.038935147,0.0082267,0.171797338,0.16228745,0.36196534,28,38.14
PR00413,YES,1 - 2,<20%,<0%,FIXED,0.143914976,0.008235986,0.211754043,0.01012303,0.265278697,0,0,6,0,4,1,5,4,1,0,0.057639903,0.018776423,0.010313464,0.023394866,0.004032321,0.155456262,0.067105523,0.232993758,25,30.82
PR00416,YES,1 - 2,<20%,<0%,FIXED,0.20136672,0.007464691,0.211467014,0.009764851,0.155177928,2,1,0,0,2,2,0,0,4,2,0.042354325,0.031753954,0.014268064,0.024343863,0.005869225,0.16088758,0.004633581,0.166266646,24,27.99
PR00466,NO,1 - 2,<20%,<0%,FIXED,0.093851775,0.008828526,0.366824491,0.007951145,0.181680508,0,0,5,0,3,2,2,0,0,0,0.030070461,0.023582824,0.008488229,0.01648382,0.004981884,0.217890756,0.062795527,0.294368847,36,46.6
PR00504,YES,1 - 2,<20%,<0%,FIXED,0.176671872,0.00637734,0.246975774,0.006437111,0.262561991,4,1,4,4,5,3,8,3,6,0,0.035774717,0.034415602,0.01137157,0.038949989,0.010687513,0.177082118,0.06151288,0.24948783,29,36.24
PR00624,NO,1 - 2,<20%,<0%,OTHER,0.048281212,0.006478139,0.226909367,0.008113402,0.324854635,7,1,6,2,8,3,5,2,6,2,0.038653555,0.03109314,0.015275034,0.015060498,0.008307154,0.1453538,0.116461688,0.278743636,28,35.8
PR00702,NO,1 - 2,<20%,<0%,OTHER,0.08801848,0.00693621,0.283525748,0.008009324,0.603068943,8,3,5,0,3,3,0,0,7,2,0.045268169,0.021821013,0.011727879,0.036714193,0.009605751,0.195605542,0.072829968,0.282681456,30,38.48
PR01152,NO,1 - 2,<20%,<0%,FIXED,0.088592945,0.007779952,0.286446243,0.0094075,0.159407989,1,1,0,0,0,0,3,3,5,0,0.041980432,0.015442385,0.011225719,0.04735574,0.006107529,0.175949846,0.002137635,0.178463598,33,38.89
PR01461,YES,1 - 2,<20%,<0%,FIXED,0.259057989,0.00970372,0.211367707,0.010347676,0.162407026,6,3,7,0,4,4,6,2,3,1,0.049964643,0.031609099,0.031967966,0.03061237,0.005970307,0.173700756,0.138384852,0.336123162,32,42.76
