P_ID,COUNTRY,LOB,SITE,PR_SIZE,MC_SIZE,COUNTRY_RMEAN,LOB_RMEAN,SITE_RMEAN,PSIZE_RMEAN,CSIZE_RMEAN,SOC,SOC_MIT,PROC,PROC_MIT,ENG,ENG_MIT,WEA,WEA_MIT,MGM,MGM_MIT,SOC_EMEAN,PROC_EMEAN,ENG_EMEAN,WEA_EMEAN,MGM_EMEAN,DEV_RAN,DEV_EVE,DEV_TOT,DUR_BL,DUR_AC
PR00001,Chile,O&G - Upstream,Fair >50% of activity duration,<200MM,Small,0.013119431,0.015915658,0.125170614,0.172324337,0.465611589,4,2,3,1,4,4,5,4,4,4,0.077455635,0.024313454,0.020268784,0.011621179,0.006757067,0.198963505,0.116938887,0.339168963,24,32.14
PR00002,Peru,Mining,Harsh >50% of activity duration,<2MM,Medium,0.036161796,0.10685305,0.159087779,0.194766706,0.242052313,7,1,4,0,0,0,5,3,1,0,0.073978557,0.018810635,0.016613973,0.062920498,0.009737718,0.184858688,0.37790001,0.632616798,20,32.65
PR00003,Chile,O&G - Upstream,Fair >50% of activity duration,<2MM,Small,0.023803151,0.034934513,0.248216496,0.142248883,0.231682349,6,0,0,0,7,1,5,0,7,1,0.066356104,0.011634796,0.030546094,0.075813506,0.013500301,0.195995247,0.638962577,0.960191451,16,31.36
PR00004,Chile,O&G - Upstream,Fair >80% of activity duration,<2MM,Medium,0.017770934,0.047553569,0.042735989,0.381553574,0.096999106,5,2,7,1,7,2,0,0,5,1,0.054351083,0.020770894,0.012858354,0.025021167,0.006705633,0.157780701,0.200419242,0.389822232,23,31.97
PR00005,Argentina,Renewables - Solar,Fair >50% of activity duration,<20MM,Small,0.050044618,0.012988796,0.080358877,0.237693452,0.27925233,6,3,5,0,8,1,4,2,8,3,0.037185286,0.011430382,0.024159302,0.040788287,0.009544046,0.172462647,0.26816041,0.486870711,19,28.25
PR00006,Argentina,Renewables - Solar,Harsh >50% of activity duration,<200MM,Large,0.017061854,0.041617688,0.230581,0.24621413,0.137404324,3,0,0,0,3,3,4,0,8,4,0.052928778,0.02824868,0.018898804,0.035747476,0.007262458,0.199923852,0.210115572,0.452046539,7,10.16
PR00007,Chile,Renewables - Wind,Fair >50% of activity duration,<2MM,Large,0.043486928,0.04929892,0.09823615,0.212421321,0.192405426,2,2,2,2,4,1,6,1,1,1,0.031254732,0.032828849,0.029067587,0.030755342,0.004532841,0.15483862,0.135867406,0.311743547,23,30.17
PR00008,Peru,Renewables - Wind,Harsh >50% of activity duration,<2MM,Large,0.094599708,0.109840993,0.167580711,0.361429462,0.049396943,2,2,5,3,6,0,3,3,2,0,0.033154538,0.024786082,0.02441181,0.037642545,0.006582822,0.214482489,0.103751333,0.340486666,23,30.83
PR00009,Argentina,Mining,Fair >50% of activity duration,<2MM,Large,0.033869667,0.031668651,0.137318697,0.59877868,0.169429911,2,0,7,2,6,0,0,0,7,2,0.041631123,0.026691096,0.009863126,0.053798724,0.002731585,0.278497914,0.139914065,0.457377755,7,10.2
PR00010,Peru,Renewables - Solar,Harsh >50% of activity duration,<200MM,Medium,0.032372581,0.017938682,0.183965243,0.211978751,0.125805589,1,0,3,3,8,4,1,0,7,4,0.036344412,0.039921848,0.009437196,0.031913864,0.004181611,0.17133092,0.072374191,0.256105048,9,11.3
PR00011,Chile,Mining,Fair >50% of activity duration,<2MM,Large,0.01199662,0.037931833,0.125001011,0.313000759,0.167862477,5,2,3,0,6,3,2,1,0,0,0.038919574,0.022901858,0.010350655,0.039190253,0.011488295,0.182368874,0.133142319,0.339792208,14,18.76
PR00012,Chile,Renewables - Wind,Fair >50% of activity duration,<20MM,Medium,0.01945842,0.072137993,0.136691395,0.247263343,0.286612397,8,0,2,2,8,1,6,2,8,3,0.023423167,0.025611916,0.024634206,0.030713056,0.010801493,0.194649545,0.326369723,0.584546986,22,34.86
PR00013,Peru,Mining,Fair >50% of activity duration,<20MM,Large,0.026089882,0.036565265,0.115528057,0.22948572,0.095737201,7,1,1,1,6,1,1,1,7,0,0.055289894,0.021880695,0.030315567,0.040491989,0.007546429,0.142555113,0.327657542,0.516921913,23,34.89
PR00014,Peru,Mining,Harsh >50% of activity duration,<200MM,Medium,0.047729247,0.046610851,0.134616159,0.200906156,0.351274339,2,2,2,2,1,0,6,2,6,1,0.048581002,0.017076593,0.014111529,0.013825577,0.012022058,0.198636032,0.100347441,0.31891609,20,26.38
PR00015,Chile,Renewables - Solar,Harsh >50% of activity duration,<20MM,Medium,0.032560223,0.02956296,0.075315564,0.199562609,0.27044587,8,3,4,4,8,0,3,3,7,0,0.048645789,0.028923181,0.027541285,0.015379816,0.008931501,0.153702386,0.318623018,0.521298521,14,21.3
PR00016,Chile,Renewables - Wind,Fair >80% of activity duration,<2MM,Large,0.031124889,0.078368623,0.087854748,0.312878095,0.056013038,5,3,3,3,3,1,1,1,4,1,0.056623399,0.026340968,0.009437611,0.02356329,0.003810367,0.151907589,0.088816791,0.254216324,16,20.07
PR00017,Peru,O&G - Downstream,Harsh >50% of activity duration,<200MM,Small,0.022455732,0.166027487,0.215131321,0.096100529,0.235659957,4,0,0,0,3,3,4,3,3,0,0.027888621,0.013109514,0.023065257,0.027700251,0.013816243,0.175929986,0.125001569,0.32292308,8,10.58
PR00018,Chile,Renewables - Solar,Harsh >50% of activity duration,<20MM,Large,0.042653315,0.031062975,0.146051497,0.273700732,0.199479391,8,4,7,0,6,1,4,1,6,4,0.053151455,0.016866116,0.02048571,0.020091159,0.005384426,0.192643174,0.267032688,0.511117887,23,34.76
PR00019,Peru,O&G - Upstream,Harsh >50% of activity duration,<200MM,Large,0.027130238,0.060284908,0.19908655,0.327477184,0.332012222,1,0,5,1,6,0,4,3,4,3,0.016509832,0.024451856,0.034282502,0.039948113,0.005832212,0.254077025,0.176787082,0.475781643,24,35.42
PR00020,Peru,O&G - Downstream,Harsh >50% of activity duration,<20MM,Small,0.036672692,0.043157008,0.065780647,0.222417699,0.150851039,1,1,7,2,3,0,0,0,7,4,0.030411539,0.040401277,0.018980575,0.027510287,0.004115419,0.1345338,0.111519354,0.261056277,22,27.74
PR00021,Chile,Renewables - Solar,Fair >50% of activity duration,<20MM,Medium,0.017095095,0.014767428,0.13043648,0.235310525,0.367147016,3,3,5,4,1,1,5,0,2,0,0.055252653,0.017372653,0.009130636,0.062981812,0.004590571,0.201209298,0.204207006,0.446504652,6,8.68
PR00022,Chile,Renewables - Solar,Harsh >50% of activity duration,<20MM,Small,0.018542136,0.012283514,0.135631592,0.252300672,0.40274361,1,1,7,4,3,2,3,0,3,3,0.035593416,0.028039079,0.018612758,0.045642808,0.005339443,0.21574127,0.120904466,0.362729818,19,25.89
PR00023,Peru,O&G - Upstream,Fair >50% of activity duration,<20MM,Large,0.035416255,0.035829559,0.07642833,0.237197848,0.106773949,0,0,6,3,7,0,4,1,6,3,0.029069512,0.030076463,0.007975773,0.021302021,0.006530514,0.133731018,0.117430673,0.266865814,20,25.34
PR00024,Peru,Renewables - Solar,Fair >50% of activity duration,<20MM,Medium,0.061018413,0.024035926,0.039325982,0.211678544,0.377804329,1,1,5,0,2,1,0,0,6,0,0.031849299,0.044197778,0.014001463,0.044400941,0.006467101,0.171251221,0.123149449,0.315490164,21,27.63
PR00025,Chile,Mining,Harsh >50% of activity duration,<2MM,Medium,0.009478941,0.061917613,0.089540261,0.231240716,0.228857449,7,0,1,1,1,1,6,2,1,1,0.086004802,0.051121735,0.011369803,0.020138964,0.003782455,0.156425425,0.409553684,0.630043718,20,32.6
PR00026,Chile,O&G - Upstream,Fair >50% of activity duration,<2MM,Medium,0.024911043,0.052134292,0.133913209,0.305652657,0.289545569,6,3,1,1,4,1,8,3,0,0,0.022824396,0.022433886,0.015675047,0.027924164,0.006492662,0.21200467,0.148368973,0.391828559,23,32.01
PR00027,Chile,Renewables - Solar,Harsh >50% of activity duration,<20MM,Small,0.014722238,0.027225579,0.105442661,0.114002745,0.299953092,7,2,2,2,2,2,0,0,2,2,0.035819908,0.023171429,0.008760998,0.01057489,0.004696402,0.141410345,0.107459724,0.264065986,12,15.17
PR00028,Argentina,Renewables - Wind,Fair >50% of activity duration,<20MM,Medium,0.033798236,0.064498993,0.061778572,0.110789842,0.18044772,1,0,0,0,2,2,4,0,1,1,0.027276918,0.022034664,0.01321426,0.034084791,0.00807451,0.105712434,0.098169649,0.214259836,14,17
PR00029,Chile,Renewables - Solar,Fair >50% of activity duration,<20MM,Large,0.018114908,0.025386761,0.109211141,0.42703202,0.179314505,0,0,6,4,5,1,1,1,0,0,0.038472566,0.027748622,0.010611617,0.025792315,0.006554522,0.213455029,0.04064727,0.262778663,22,27.78
PR00030,Peru,O&G - Downstream,Harsh >50% of activity duration,<2MM,Small,0.033529892,0.086003212,0.401237463,0.24747278,0.188967696,4,4,3,0,3,1,0,0,4,1,0.044602019,0.028362981,0.017655078,0.034218152,0.006626565,0.285212992,0.067315905,0.371728267,10,13.72
PR00031,Peru,Renewables - Wind,Harsh >50% of activity duration,<20MM,Large,0.056039999,0.031643961,0.165931081,0.48104469,0.262884733,2,2,8,0,7,0,7,0,2,0,0.042011977,0.011819129,0.025695762,0.055062948,0.007327548,0.278854984,0.368948205,0.750686235,14,24.51
PR00032,Chile,Renewables - Wind,Fair >50% of activity duration,<20MM,Small,0.035372805,0.046799443,0.115704857,0.132857362,0.297056966,5,4,0,0,5,4,5,1,1,1,0.028622278,0.01626073,0.019738405,0.067434802,0.004754263,0.156733718,0.188886094,0.375224632,21,28.88
PR00033,Chile,O&G - Upstream,Fair >80% of activity duration,<20MM,Large,0.043579018,0.065906524,0.087566396,0.337502417,0.095910013,6,3,3,1,6,2,1,0,5,1,0.055372708,0.019590954,0.024482267,0.046404737,0.015418539,0.169649367,0.251866076,0.464244364,17,24.89
